Temperature  1/Chi(emu/mol)  Ho3Mg2Sb3O14, Filed=0.1T,  Datapoint=80
2	0.21509
7	0.5625
12	0.96064
17	1.37073
22	1.78219
27	2.19242
32	2.61056
37	3.0205
42	3.42832
47	3.83435
52	4.23841
57	4.64077
62	5.04223
67	5.44306
72	5.8426
77	6.24064
82	6.63537
87	7.03043
92	7.42701
97	7.81811
102	8.20814
107	8.5991
112	8.98758
117	9.37633
122	9.76146
127	10.1421
132	10.52209
137	10.90244
142	11.28163
147	11.66172
152	12.04124
157	12.42119
162	12.79661
167	13.16827
172	13.54701
177	13.92477
182	14.29721
187	14.67347
192	15.04795
197	15.42263
202	15.79258
207	16.15873
212	16.53348
217	16.9124
222	17.28853
227	17.6622
232	18.03724
237	18.41311
242	18.77358
247	19.1278
252	19.49887
257	19.87152
262	20.24443
267	20.61971
272	20.99766
277	21.37629
282	21.73458
287	22.08399
292	22.45902
297	22.82829
302	23.18988
307	23.55765
312	23.92836
317	24.30054
322	24.65432
327	24.9935
332	25.35679
337	25.72375
342	26.09127
347	26.46287
352	26.82994
357	27.20077
362	27.57246
367	27.9402
372	28.31287
377	28.68537
382	29.06391
387	29.44819
392	29.83101
397	30.20083
